# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.673900604248046875e+01 9.143894203589297831e-06 4.930141448974609375e+01 9.143894203589297831e-06 1.003041744232177734e+00
1.000000000000000000e+03 4.390551766846328974e-04 2.873546236514812335e-07 7.384135969914495945e-04 2.873546236514812335e-07 1.924498123116791248e-03
2.000000000000000000e+03 6.700997619191184640e-05 4.907364292705551634e-09 2.008117735385894775e-04 4.907364292705551634e-09 6.788697792217135429e-04
3.000000000000000000e+03 4.264684321242384613e-05 1.736571952903886995e-08 1.437839819118380547e-04 1.736571952903886995e-08 5.535859381780028343e-04
4.000000000000000000e+03 7.832913979655131698e-05 1.134673038905020803e-05 2.098506665788590908e-04 1.134673038905020803e-05 3.446864197030663490e-03
5.000000000000000000e+03 2.489925827831029892e-03 1.139298547059297562e-04 2.596721053123474121e-03 1.139298547059297562e-04 9.655613452196121216e-03
6.000000000000000000e+03 1.612776759429834783e-05 6.660287681370391510e-07 5.421386595116928220e-05 6.660287681370391510e-07 7.108704303391277790e-04
7.000000000000000000e+03 1.039504422806203365e-05 2.258840368085657246e-07 7.170272874645888805e-05 2.258840368085657246e-07 5.986248725093901157e-04
8.000000000000000000e+03 5.077189780422486365e-05 1.004247678793035448e-05 1.351660321233794093e-04 1.004247678793035448e-05 3.238508477807044983e-03
9.000000000000000000e+03 1.263174817722756416e-05 8.089178891168558039e-07 4.218457615934312344e-05 8.089178891168558039e-07 7.466858369298279285e-04
1.000000000000000000e+04 6.424183811759576201e-05 1.832189582273713313e-06 1.101761954487301409e-04 1.832189582273713313e-06 2.181041520088911057e-03
